facebook.com, 173.252.120.6
youtube.com, 216.58.217.14
ifeng.com, 210.51.19.61
myspace.com, 216.178.46.224
cnet.com, 64.30.224.118
4399.com, 115.182.52.231
yandex.ru, 87.250.250.11
bbc.co.uk, 212.58.244.20
mail.ru, 94.100.180.200
amazon.com, 72.21.215.232
yahoo.com, 98.138.253.109
go.com, 199.181.131.249
wordpress.com, 192.0.78.9
goo.ne.jp, 153.254.147.65
alipay.com, 110.76.20.33
hotmail.com, 65.55.77.28
weather.com, 96.8.84.132
360.cn, 106.120.167.66
live.com, 65.55.206.154
soku.com, 220.181.185.143
alibaba.com, 205.204.96.36
orkut.com, 74.125.70.85
craigslist.org, 208.82.238.129
yahoo.co.jp, 182.22.59.229
skype.com, 91.190.216.21
wikipedia.org, 198.35.26.96
nifty.com, 222.158.213.148
imageshack.us, 208.94.0.44
msn.com, 23.101.196.141
ameblo.jp, 180.233.142.129
apple.com, 17.142.160.59
cnn.com, 157.166.226.26
sohu.com, 123.125.116.19
tianya.cn, 124.225.135.222
paipai.com, 112.90.77.176
flickr.com, 69.147.76.173
naver.com, 202.131.30.11
4shared.com, 208.88.224.138
blogspot.com, 216.58.217.9
amazon.co.jp, 54.240.248.0
baidu.com, 180.149.132.47
windows.com, 134.170.188.221
zynga.com, 184.75.170.150
rapidshare.com, 188.40.125.151
daum.net, 114.108.157.19
answers.com, 67.196.156.65
mywebsearch.com, 74.113.237.48
2345.com, 42.62.30.180
ebay.com, 66.211.160.87
hp.com, 15.201.225.10
qq.com, 125.39.240.113
taobao.com, 110.75.115.70
pps.tv, 58.83.190.154
livedoor.jp, 125.6.149.67
photobucket.com, 209.17.68.100
walmart.com, 161.170.244.20
xunlei.com, 163.177.79.253
dailymotion.com, 195.8.215.136
aol.com, 64.12.89.186
bing.com, 204.79.197.200
kugou.com, 14.18.236.182
mediafire.com, 205.196.120.12
sina.com.cn, 202.108.33.60
56.com, 59.32.213.232
youdao.com, 61.135.218.29
ehow.com, 23.227.2.46
seesaa.net, 59.106.98.139
ebay.de, 66.211.181.235
163.com, 123.58.180.8
adobe.com, 192.150.16.117
ask.com, 66.235.120.127
paypal.com, 66.211.169.3
fc2.com, 54.215.250.132
mozilla.com, 63.245.217.194
twitter.com, 199.59.148.82
pconline.com.cn, 219.136.245.40
hotfile.com, 
tmall.com, 110.75.115.70
sdjjdsaf.com, 
andysayler.com, 162.243.49.20
7k7k.com, 115.182.59.33
wmfo.org, 23.92.21.128
ku6.com, 122.11.45.243
rakuten.co.jp, 133.237.48.124
orkut.com.br, 74.125.70.87
about.com, 207.241.148.80
qiyi.com, 101.227.22.157
odnoklassniki.ru, 217.20.147.94
jp.msn.com, 191.238.42.36
megaupload.com, 
